Student_ID,Student_Country,Question_ID,Type_of_Answer,Question_Level,Topic,Subtopic,Keywords
647,Ireland,77,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
41,Portugal,77,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
340,Portugal,77,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
641,Italy,77,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
669,Portugal,77,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
697,Portugal,77,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
720,Portugal,77,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
675,Portugal,77,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
663,Portugal,77,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
28,Portugal,77,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
953,Lithuania,77,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
636,Italy,77,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
639,Italy,77,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
684,Ireland,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
683,Ireland,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
725,Portugal,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
57,Portugal,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
690,Portugal,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
675,Portugal,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
679,Portugal,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
663,Portugal,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
638,Italy,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
953,Lithuania,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
637,Italy,78,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
658,Ireland,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
647,Ireland,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
657,Ireland,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
674,Ireland,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
41,Portugal,79,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
41,Portugal,79,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
651,Ireland,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
1505,Portugal,79,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
664,Portugal,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
699,Portugal,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
67,Portugal,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
57,Portugal,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
57,Portugal,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
675,Portugal,79,1,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
679,Portugal,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
638,Italy,79,0,Basic,Statistics,Statistics,Stem_and_Leaf_diagram_Relative_frequency_Sample_Frequency
913,Ireland,80,1,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
646,Ireland,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
641,Italy,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
695,Portugal,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
700,Portugal,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
675,Portugal,80,1,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
659,Portugal,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
642,Italy,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
637,Italy,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
643,Italy,80,0,Basic,Statistics,Statistics,Population_Variance_Median_Standard_deviation_Mode_Quantile_Sample_Mean
741,Ireland,81,0,Basic,Statistics,Statistics,Mean_Median_Mode
647,Ireland,81,0,Basic,Statistics,Statistics,Mean_Median_Mode
674,Ireland,81,0,Basic,Statistics,Statistics,Mean_Median_Mode
713,Portugal,81,0,Basic,Statistics,Statistics,Mean_Median_Mode
41,Portugal,81,0,Basic,Statistics,Statistics,Mean_Median_Mode
669,Portugal,81,0,Basic,Statistics,Statistics,Mean_Median_Mode
1505,Portugal,81,1,Basic,Statistics,Statistics,Mean_Median_Mode
668,Portugal,81,1,Basic,Statistics,Statistics,Mean_Median_Mode
695,Portugal,81,1,Basic,Statistics,Statistics,Mean_Median_Mode
699,Portugal,81,0,Basic,Statistics,Statistics,Mean_Median_Mode
